rank,destination,country,setting,decision_score_5,usd_per_m2,net_yield_estimate,ownership_clarity_5,regulatory_safety_5,retirement_fit_5,exit_liquidity_5,foreigner_fit_5,access_status
1,Fukuoka / Itoshima,Japan,Water,4.27,2620,3–4.8% est. net,5.0,3.0,4.6,4.1,4.6,available
2,Dubai,United Arab Emirates,City,4.18,5200,4.0-6.0% est. net,4.2,4.0,3.6,4.3,4.5,available
3,Valencia,Spain,Water,4.09,3840,3–4.8% est. net,4.6,3.0,4.8,4.4,3.6,available
4,Algarve / Cascais,Portugal,Water,4.06,4600,3–4.5% est. net,4.7,3.4,4.8,4.2,3.8,available
5,Málaga / Costa del Sol,Spain,Water,4.03,5600,3–5% est. net,4.5,2.8,4.7,4.5,3.7,available
6,Lake Como,Italy,Mountain + Water,3.96,4650,2–3.8% est. net,4.6,3.1,4.6,4.1,3.6,available
7,Hakone / Izu,Japan,Mountain + Water,3.95,3000,2.5–4% est. net,5.0,3.0,4.1,3.6,4.2,available
8,Madeira,Portugal,Water,3.91,4000,3–5% est. net,4.7,3.4,4.6,3.5,3.4,available
9,Miami / Fort Lauderdale,United States,Water,3.90,8800,Asset-specific; no verified destination-wide net yield,4.4,2.7,4.0,4.7,4.2,available
10,Hakuba,Japan,Mountain,3.86,6700,3–5.5% est. net,5.0,3.1,3.4,3.5,4.0,available
11,Costa Brava / Girona,Spain,Water,3.85,4600,2.5–4.2% est. net,4.5,2.6,4.3,3.8,3.4,available
12,Park City / Deer Valley,United States,Mountain,3.83,8200,Property-specific only; no verified market-wide net yield,5.0,3.0,3.5,4.0,4.5,available
13,Crete,Greece,Water,3.81,2960,3–4.8% est. net,4.4,3.2,4.3,3.4,3.2,available
14,Niseko,Japan,Mountain,3.79,14644,3.5–6.5% est. net after management/OPEX,5.0,3.1,3.4,4.0,4.4,available
15,Annecy,France,Mountain + Water,3.77,8720,2.2–3.8% est. net,4.5,2.7,4.7,4.0,3.5,available
16,Mallorca,Spain,Water,3.77,4800,2.5–4% est. net,4.3,2.2,4.5,4.2,3.2,available
17,Croatia / Istria-Dalmatia,Croatia,Water,3.74,3900,3–4.8% est. net,4.4,3.1,4.1,3.5,3.1,available
18,Queenstown,New Zealand,Mountain + Water,3.70,6500,2.5–4.5% est. net,2.3,3.4,4.1,3.6,3.8,available
19,Los Angeles / Orange County,United States,Water,3.69,9155,No destination-wide net yield; model the exact property and permitted use,4.4,2.0,3.8,4.8,4.0,available
20,Lake Tahoe,United States,Mountain + Water,3.63,10600,Asset-specific; no verified basin-wide net yield,5.0,2.6,3.4,3.8,4.3,available
21,Dolomites / South Tyrol,Italy,Mountain,3.62,9800,2–3.8% est. net,4.6,3.0,4.4,3.8,3.3,available
22,Perth / Margaret River,Australia,Water,3.61,9600,Asset-specific; no verified destination-wide net yield,2.0,3.1,4.1,4.1,3.1,available
23,Phuket / Koh Samui,Thailand,Water,3.59,1800,"Property-specific: model only lawful, evidenced net income",2.0,2.8,4.1,3.1,4.5,available
24,Chamonix,France,Mountain,3.59,11418,Property-specific only; no verified valley-wide net yield,4.5,2.4,4.0,4.1,3.5,available
25,Bali,Indonesia,Water,3.56,1400,Property-specific only; no verified island-wide net yield,1.8,2.7,3.8,2.9,4.1,available
26,Whistler,Canada,Mountain,3.55,13200,Asset-specific; no destination-wide net yield,3.0,3.2,3.7,4.0,4.0,available
27,Andermatt,Switzerland,Mountain,3.55,30200,Asset-specific; no destination-wide net yield,4.1,3.0,4.3,3.7,3.8,available
28,Innsbruck / Tyrol,Austria,Mountain,3.51,8800,Asset-specific; no destination-wide net yield,3.5,2.5,4.5,3.9,3.2,available
29,Jackson Hole,United States,Mountain,3.47,13400,Asset-specific; no destination-wide net yield,5.0,2.8,3.1,3.6,4.4,available
30,Da Nang / Hoi An,Vietnam,Water,3.45,2840,Asset-specific; no verified destination-wide net yield,2.3,2.7,3.6,3.0,3.7,conditional
31,Aspen / Snowmass,United States,Mountain,3.44,22000,Asset-specific; no destination-wide net yield,5.0,2.4,3.2,4.2,4.4,available
32,Gold Coast / Sunshine Coast,Australia,Water,3.44,10360,"No destination-wide net yield; model the exact building, lawful use, levies, management, insurance and vacancy",2.0,2.7,4.4,4.2,3.0,available
33,Sydney / Melbourne,Australia,City,3.44,11235,"No destination-wide net yield; model the eligible new dwelling, lawful tenancy, state taxes, strata costs and owner-specific tax position",2.0,2.8,4.2,4.8,3.0,restricted
34,Ticino / Lake Lugano,Switzerland,Mountain + Water,3.41,8900,Asset-specific; no destination-wide net yield,2.8,2.8,4.8,3.7,3.5,available
35,Swiss Valais / Vaud Alps,Switzerland,Mountain,3.30,29300,No destination-wide net yield; model the exact property and lawful use,2.6,2.4,4.7,3.7,3.6,available
36,Vancouver Island / Victoria,Canada,Water,3.15,5300,2.5-3.8% est. net,1.8,2.2,4.5,3.7,2.4,restricted
37,Vancouver,Canada,Water,2.97,8146,"No destination-wide net yield; model the exact property, lawful tenancy and owner-specific taxes",1.2,2.0,4.3,4.5,1.5,restricted
